시간,상품명,출연진,예상가격,카테고리
08:00-09:00,프리미엄 멀티비타민,김영희,49900-79900,건강식품
09:00-10:00,스킨톤 에센스,박준호,89900-129900,이미용
10:00-11:00,주방 칼 세트,이순신,39900-59900,리빙
11:00-12:00,유기농 발효 식초,홍길동,29900-49900,일반식품
12:00-13:00,무선 청소기,이하나,199900-299900,리빙
13:00-14:00,핸드크림 세트,박민지,59900-89900,이미용
14:00-15:00,건강 가전 영양식,김민준,99900-149900,건강식품
15:00-16:00,패션 가방 컬렉션,서연지,129900-189900,패션
16:00-17:00,슬림핏 청바지,최지은,79900-109900,패션
17:00-18:00,프리미엄 커피 세트,이준호,69900-99900,일반식품
18:00-19:00,LED 데스크 조명,박지원,89900-139900,리빙
19:00-20:00,올인원 스킨케어,김소현,119900-169900,이미용
20:00-21:00,스포츠 신발,이민준,99900-159900,패션
21:00-22:00,비타민 D3 서플,홍영미,39900-59900,건강식품
22:00-23:00,수면 안대 세트,박준성,19900-34900,이미용
