시간,상품명,출연진,예상가격,카테고리
08:00-09:00,콜라겐 음료,이혜정,59900-89900,건강식품
09:00-10:00,BB크림,김하나,79900-119900,이미용
10:00-11:00,무선청소기,박재훈,189900-269900,리빙
11:00-12:00,곡물 시리얼,최성준,29900-49900,일반식품
12:00-13:00,정수기,홍지수,249900-349900,리빙
13:00-14:00,마스크팩,서지현,89900-139900,이미용
14:00-15:00,유산균 유제품,이민철,74900-119900,건강식품
15:00-16:00,프리미엄 지갑,박준영,99900-159900,패션
16:00-17:00,스포츠 바지,김유정,69900-99900,패션
17:00-18:00,프리미엄 잼 세트,이준희,54900-79900,일반식품
18:00-19:00,스마트 온도계,최지훈,79900-129900,리빙
19:00-20:00,에센스,홍소영,119900-169900,이미용
20:00-21:00,스니커즈,박민준,119900-179900,패션
21:00-22:00,칼슘 영양제,이은희,44900-69900,건강식품
22:00-23:00,시트마스크,최예은,19900-34900,이미용
