시간,상품명,출연진,예상가격,카테고리
08:00-09:00,프리미엄 감,최준호,49900-74900,건강식품
09:00-10:00,세럼,김지은,99900-149900,이미용
10:00-11:00,식탁,박준영,149900-249900,리빙
11:00-12:00,유기농 된장,이영준,34900-54900,일반식품
12:00-13:00,냉장고,홍민준,549900-699900,리빙
13:00-14:00,쿠션,서미경,79900-119900,이미용
14:00-15:00,락토페린,김준희,99900-139900,건강식품
15:00-16:00,핸드백,박지수,119900-179900,패션
16:00-17:00,드로즈,최은지,74900-109900,패션
17:00-18:00,프리미엄 와인,이민호,49900-89900,일반식품
18:00-19:00,세탁기,홍소현,199900-299900,리빙
19:00-20:00,폼 클렌징,박지현,89900-139900,이미용
20:00-21:00,구부츠,이수빈,139900-199900,패션
21:00-22:00,철분 보충제,최혜진,54900-79900,건강식품
22:00-23:00,페이스팩,김은영,29900-49900,이미용
